f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,label
0.0,0.0,0.0,0.11762469,-0.0077996226,-0.33026907,0.2526935,-0.08350655,-0.50338554,0.3214194,-0.19363621,-0.6281,0.3563757,-0.31400296,-0.7431807,0.52672845,-0.3117555,-0.3558353,0.6198415,-0.5016832,-0.54488075,0.62651026,-0.66025263,-0.69402057,0.6056581,-0.795725,-0.79367155,0.4409766,-0.36661297,-0.26723537,0.53917974,-0.5421514,-0.44754824,0.56019187,-0.6918603,-0.5800698,0.5528933,-0.8302257,-0.66536504,0.3420518,-0.3988568,-0.20349924,0.42826843,-0.55949026,-0.35032684,0.44334525,-0.687553,-0.41498664,0.44592044,-0.80529696,-0.4485386,0.23133202,-0.41166815,-0.16958296,0.30381945,-0.54127115,-0.28132334,0.33053476,-0.64569473,-0.32096988,0.34048912,-0.734745,-0.33738425,0.0,0.0,0.0,-0.031316344,-0.14536895,-0.044944998,-0.18383247,-0.3402818,-0.08141483,-0.3376952,-0.48676673,-0.10748712,-0.4834553,-0.58874655,-0.14560382,-0.20403613,-0.3134961,-0.20419045,-0.39359477,-0.47532943,-0.31612802,-0.5418303,-0.582434,-0.383954,-0.6629922,-0.6628052,-0.4269473,-0.26555827,-0.2610507,-0.23232578,-0.48421183,-0.41887137,-0.3173542,-0.6474059,-0.52358556,-0.3655876,-0.7875502,-0.6162505,-0.40913737,-0.33535585,-0.19127959,-0.25718033,-0.5426718,-0.33609343,-0.33138618,-0.69806397,-0.43476063,-0.35155207,-0.8192598,-0.5241299,-0.37063825,-0.41116273,-0.10719388,-0.2814245,-0.5933158,-0.21604212,-0.35221082,-0.7001376,-0.29488808,-0.36403877,-0.7862585,-0.35979715,-0.3709557,bird
0.0,0.0,0.0,0.124007374,-0.013901043,-0.31062868,0.2622122,-0.09746324,-0.46522617,0.30951554,-0.20703734,-0.5738199,0.3222575,-0.31545568,-0.6700537,0.54370254,-0.32557726,-0.3047124,0.62903756,-0.52347064,-0.4626828,0.6247099,-0.67749864,-0.5923185,0.5972941,-0.8020223,-0.67931783,0.4465662,-0.37716502,-0.21658184,0.5245339,-0.5634835,-0.3679386,0.53210455,-0.708318,-0.48682207,0.512432,-0.8303683,-0.5612823,0.3449559,-0.40657377,-0.15355344,0.41207206,-0.5754976,-0.2800413,0.412699,-0.6989365,-0.3407903,0.40374166,-0.80382985,-0.3700534,0.24345732,-0.41893855,-0.1189105,0.29609096,-0.55838704,-0.2143239,0.30697215,-0.65736586,-0.24806362,0.30899325,-0.7380838,-0.25963363,0.0,0.0,0.0,-0.016910486,-0.13853554,-0.07380426,-0.16183625,-0.34253502,-0.11449165,-0.30869606,-0.5052611,-0.1398835,-0.434166,-0.63026744,-0.1728673,-0.2116203,-0.31440553,-0.20229147,-0.4274947,-0.47589248,-0.31502473,-0.5918132,-0.5878211,-0.3833064,-0.72841156,-0.6746009,-0.42670634,-0.26279715,-0.27684584,-0.2096074,-0.47443417,-0.43965074,-0.29766822,-0.6303341,-0.55009013,-0.34273177,-0.7631307,-0.64624417,-0.37988922,-0.31065097,-0.22870076,-0.21736333,-0.49910325,-0.38303387,-0.28930217,-0.64569396,-0.48709846,-0.29985237,-0.7633237,-0.57949406,-0.30843893,-0.3568592,-0.17193946,-0.2291227,-0.5131593,-0.2986247,-0.29565725,-0.614559,-0.39112207,-0.30439022,-0.69724417,-0.46785176,-0.30658752,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005118678,-0.13603938,-0.09017139,-0.13161638,-0.33642092,-0.13367987,-0.30307457,-0.47996923,-0.15906127,-0.46585602,-0.58090764,-0.19185907,-0.17059922,-0.329696,-0.20584534,-0.36986762,-0.5004838,-0.31723613,-0.53670067,-0.62019634,-0.38910696,-0.6849924,-0.71229297,-0.43599313,-0.2421205,-0.28695336,-0.20516546,-0.43251398,-0.45483822,-0.29225996,-0.5955344,-0.5698597,-0.34611613,-0.7408892,-0.6716273,-0.38849905,-0.3099983,-0.23078117,-0.2050006,-0.48680684,-0.38254526,-0.27365988,-0.6387487,-0.482497,-0.28977898,-0.7649397,-0.57670826,-0.30166563,-0.38041976,-0.16334514,-0.21039465,-0.5337384,-0.28460452,-0.27585065,-0.6362512,-0.37004986,-0.28456566,-0.7209764,-0.44355568,-0.2847554,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2961436,-0.099191785,0.08643485,-0.3884729,-0.23312673,0.09317839,-0.40829998,-0.3289777,0.05360345,-0.37158796,-0.4121871,0.026637077,-0.0895285,-0.5398739,0.11416573,-0.42905337,-0.66145945,-0.0077185906,-0.55927014,-0.63307196,-0.070556104,-0.57578856,-0.6157412,-0.09392498,-0.009446942,-0.5390908,0.0009980574,-0.5084186,-0.532569,-0.19835229,-0.58814347,-0.34748882,-0.27247438,-0.539528,-0.22800331,-0.27668634,0.008251548,-0.50702745,-0.12146148,-0.48362413,-0.49569052,-0.29813135,-0.589563,-0.3049786,-0.28928235,-0.55808955,-0.1849503,-0.23018582,-0.035167456,-0.45816574,-0.239608,-0.28064552,-0.64499843,-0.37700015,-0.43838555,-0.74176633,-0.41361943,-0.5458725,-0.83786815,-0.40842316,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31110546,-0.1121788,0.1177219,-0.40495813,-0.25982645,0.13967831,-0.42311022,-0.35183164,0.11085522,-0.38137472,-0.41887587,0.0896733,-0.056439094,-0.54591525,0.11040982,-0.41981235,-0.635075,-0.0037102236,-0.5786687,-0.5408651,-0.05853623,-0.58913577,-0.47718096,-0.07561338,0.031458836,-0.5448016,-0.011903542,-0.46601644,-0.5291755,-0.1870334,-0.5879586,-0.34537,-0.25957692,-0.56783247,-0.23183587,-0.27301392,0.054794256,-0.5152537,-0.13742054,-0.43662494,-0.4943877,-0.2896743,-0.5686281,-0.30794087,-0.29109868,-0.55149955,-0.19346255,-0.25008944,0.0052504735,-0.46906394,-0.25433725,-0.24046387,-0.6577283,-0.38631186,-0.40942192,-0.75649035,-0.42999268,-0.5251915,-0.85098404,-0.4341541,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2984446,-0.08529512,0.057206478,-0.39708468,-0.21118185,0.057226434,-0.41165566,-0.2972013,0.02296974,-0.38098028,-0.38065183,-0.009144118,-0.13419046,-0.4940842,0.040322334,-0.28415355,-0.66334355,-0.026453948,-0.37449482,-0.787687,-0.06834737,-0.43385568,-0.9009824,-0.102935605,-0.060443133,-0.5037183,-0.04752366,-0.4640163,-0.4788196,-0.21471883,-0.5340799,-0.3270165,-0.28219587,-0.4743137,-0.22741455,-0.29446816,-0.047210563,-0.47696272,-0.1346944,-0.4402442,-0.45832154,-0.2954394,-0.5439505,-0.31018275,-0.29742688,-0.5132017,-0.20408452,-0.2526796,-0.085193425,-0.4371949,-0.21858631,-0.30168003,-0.6047586,-0.36308312,-0.46150807,-0.6951283,-0.40322122,-0.5673771,-0.7722342,-0.39944792,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030213518,-0.16243744,-0.07674826,-0.100409985,-0.34705725,-0.08675101,-0.2598015,-0.48801854,-0.08558651,-0.40349138,-0.5895067,-0.07739225,-0.2759908,-0.3348967,-0.039835364,-0.49578673,-0.47575453,-0.09443724,-0.6203438,-0.5683413,-0.13703077,-0.7070805,-0.64088786,-0.16077091,-0.37870327,-0.29396424,-0.021062287,-0.57568544,-0.4423245,-0.06173751,-0.6925118,-0.5467179,-0.100868486,-0.7714981,-0.6362316,-0.12576745,-0.44016334,-0.25753844,-0.011797828,-0.59832394,-0.40478155,-0.044044044,-0.683362,-0.5037256,-0.05382787,-0.73338485,-0.5874532,-0.05557794,-0.470055,-0.2242364,-0.011533244,-0.5791814,-0.35226992,-0.029651094,-0.6394203,-0.43575075,-0.021210726,-0.67526823,-0.50477654,-0.008972199,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07106709,-0.15750913,-0.111874975,-0.047821872,-0.3500603,-0.1324443,-0.20011127,-0.4979562,-0.12986204,-0.33253896,-0.60310197,-0.12018449,-0.26454675,-0.3356542,-0.09857106,-0.47639525,-0.48064068,-0.15320238,-0.6019051,-0.5738519,-0.1929282,-0.6942083,-0.64366764,-0.21409515,-0.40093836,-0.2906787,-0.054189645,-0.58835685,-0.4383398,-0.09435806,-0.69871724,-0.54504126,-0.13363136,-0.77601784,-0.63071096,-0.158836,-0.48732805,-0.25141665,-0.017758537,-0.6454145,-0.39653367,-0.043780413,-0.719486,-0.49585366,-0.059852242,-0.76490825,-0.57637155,-0.0683377,-0.5360614,-0.21974528,0.008276574,-0.65020084,-0.34640968,-0.0057491246,-0.70365363,-0.43090317,-0.0029406026,-0.73175895,-0.49632153,0.0042656786,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03701591,-0.15998249,-0.09775451,-0.071816966,-0.3438725,-0.11752388,-0.18966913,-0.49188364,-0.12288132,-0.29109415,-0.60535336,-0.120807596,-0.34983394,-0.3112496,-0.041592393,-0.5421075,-0.45278922,-0.091076545,-0.65247405,-0.54965687,-0.1352565,-0.7325808,-0.6230902,-0.1615514,-0.43771896,-0.27265543,-0.0112673445,-0.6131112,-0.41928747,-0.053813856,-0.71602863,-0.5277749,-0.10112081,-0.78537476,-0.6190206,-0.13179947,-0.47097063,-0.24458449,0.00834303,-0.62183577,-0.39108637,-0.026868112,-0.702997,-0.49445185,-0.045220967,-0.7502233,-0.580106,-0.05223261,-0.4643339,-0.22442164,0.01728851,-0.5771929,-0.35394472,-0.0035056837,-0.64208907,-0.44476882,-0.0012338541,-0.6815596,-0.51995844,0.006722289,bird
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012767422,-0.17205729,-0.087167144,-0.13516404,-0.35577002,-0.09580892,-0.25436482,-0.5089232,-0.096385434,-0.36257488,-0.62915814,-0.09036786,-0.40614593,-0.3165454,0.028877776,-0.58707833,-0.4450207,-0.0085165035,-0.67793804,-0.5325403,-0.056987487,-0.7442042,-0.6034007,-0.09078074,-0.4606744,-0.28162333,0.050676804,-0.63246936,-0.41032094,0.028385727,-0.7320232,-0.5083252,-0.024961125,-0.80574125,-0.59226775,-0.06768941,-0.47049698,-0.2526176,0.056183673,-0.61902493,-0.3811348,0.031881407,-0.7067786,-0.4726207,0.010265959,-0.76453644,-0.5498143,-0.0046237125,-0.448601,-0.22899559,0.049885165,-0.567196,-0.34695724,0.034943063,-0.63581556,-0.4280279,0.03886077,-0.6823057,-0.49730757,0.043633394,bird
