split,image_path,label_path,class_id,class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,detected_hand_count
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2b310874-5e70-11ed-8377-c894027f4afb_jpg.rf.74b51aa74053235e5e625ae20e72021d.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2b310874-5e70-11ed-8377-c894027f4afb_jpg.rf.74b51aa74053235e5e625ae20e72021d.txt,0,bird,149,86,286,330,2
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2b4004dc-5e70-11ed-a5ff-c894027f4afb_jpg.rf.cf429fc8669438b00b997c2de828ddd7.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2b4004dc-5e70-11ed-a5ff-c894027f4afb_jpg.rf.cf429fc8669438b00b997c2de828ddd7.txt,0,bird,145,88,288,330,2
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2b4cf6e2-5e70-11ed-9124-c894027f4afb_jpg.rf.f1a63873e17700d35d6ea36f53525651.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2b4cf6e2-5e70-11ed-9124-c894027f4afb_jpg.rf.f1a63873e17700d35d6ea36f53525651.txt,0,bird,148,100,288,329,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2bbaf2e6-5e70-11ed-a3a4-c894027f4afb_jpg.rf.b72fd546cbaf34e442b99c7a34e20ae1.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2bbaf2e6-5e70-11ed-a3a4-c894027f4afb_jpg.rf.b72fd546cbaf34e442b99c7a34e20ae1.txt,0,bird,145,99,284,336,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2bc9ab1a-5e70-11ed-9671-c894027f4afb_jpg.rf.e3a58f4244cee6c6664013323dc50e8d.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2bc9ab1a-5e70-11ed-9671-c894027f4afb_jpg.rf.e3a58f4244cee6c6664013323dc50e8d.txt,0,bird,145,95,284,335,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2bf27c66-5e70-11ed-b7d4-c894027f4afb_jpg.rf.8128147db33337047afb4720befe0ab5.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2bf27c66-5e70-11ed-b7d4-c894027f4afb_jpg.rf.8128147db33337047afb4720befe0ab5.txt,0,bird,144,111,278,340,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2c1d55a8-5e70-11ed-941e-c894027f4afb_jpg.rf.9ad940490eceee86f3452f52e73fcad2.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2c1d55a8-5e70-11ed-941e-c894027f4afb_jpg.rf.9ad940490eceee86f3452f52e73fcad2.txt,0,bird,147,93,287,339,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2c514674-5e70-11ed-b437-c894027f4afb_jpg.rf.fd2a59b375dd05f4ab2b54598bf22389.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2c514674-5e70-11ed-b437-c894027f4afb_jpg.rf.fd2a59b375dd05f4ab2b54598bf22389.txt,0,bird,144,98,276,334,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2c5e25ce-5e70-11ed-9b95-c894027f4afb_jpg.rf.dd59c9880d6e4a8c6f048b2259644ecb.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2c5e25ce-5e70-11ed-9b95-c894027f4afb_jpg.rf.dd59c9880d6e4a8c6f048b2259644ecb.txt,0,bird,148,93,286,335,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2d4a2bfe-5e70-11ed-a814-c894027f4afb_jpg.rf.f28bed1b384fb59d9ac55b65703430e5.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2d4a2bfe-5e70-11ed-a814-c894027f4afb_jpg.rf.f28bed1b384fb59d9ac55b65703430e5.txt,0,bird,144,102,278,342,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2dad0562-5e70-11ed-9204-c894027f4afb_jpg.rf.6955015fd5cd26e212abd9f6b67368d4.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2dad0562-5e70-11ed-9204-c894027f4afb_jpg.rf.6955015fd5cd26e212abd9f6b67368d4.txt,0,bird,145,116,271,345,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_2eab73d6-5e70-11ed-8bac-c894027f4afb_jpg.rf.6b4cce64a423bb1c04442f8ee0268f7f.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_2eab73d6-5e70-11ed-8bac-c894027f4afb_jpg.rf.6b4cce64a423bb1c04442f8ee0268f7f.txt,0,bird,144,106,283,335,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_3e0c8f18-5e70-11ed-93a2-c894027f4afb_jpg.rf.2f2867b3602475f7459ea6314b862b36.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_3e0c8f18-5e70-11ed-93a2-c894027f4afb_jpg.rf.2f2867b3602475f7459ea6314b862b36.txt,0,bird,161,136,282,284,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_3e1a4c2a-5e70-11ed-a4cd-c894027f4afb_jpg.rf.f46f0e8bf25301b821a6c0fabe959736.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_3e1a4c2a-5e70-11ed-a4cd-c894027f4afb_jpg.rf.f46f0e8bf25301b821a6c0fabe959736.txt,0,bird,152,126,293,283,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_3e2820c0-5e70-11ed-871f-c894027f4afb_jpg.rf.52c58ba9f471b800237d09a435c80695.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_3e2820c0-5e70-11ed-871f-c894027f4afb_jpg.rf.52c58ba9f471b800237d09a435c80695.txt,0,bird,152,125,294,284,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6c78ad32-5e70-11ed-8458-c894027f4afb_jpg.rf.c58441090089b675f48b36694c148dae.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6c78ad32-5e70-11ed-8458-c894027f4afb_jpg.rf.c58441090089b675f48b36694c148dae.txt,0,bird,88,89,272,415,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6ca43510-5e70-11ed-892d-c894027f4afb_jpg.rf.d6aa341650e9b8dbb9f75d3085fe08ec.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6ca43510-5e70-11ed-892d-c894027f4afb_jpg.rf.d6aa341650e9b8dbb9f75d3085fe08ec.txt,0,bird,112,96,295,409,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6d643c98-5e70-11ed-a50e-c894027f4afb_jpg.rf.1afb51c15d9f17f87991cd0e2e6d7720.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6d643c98-5e70-11ed-a50e-c894027f4afb_jpg.rf.1afb51c15d9f17f87991cd0e2e6d7720.txt,0,bird,118,123,287,369,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6e450822-5e70-11ed-a58f-c894027f4afb_jpg.rf.96ec73ab78f34859aedbec10f252bf6c.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6e450822-5e70-11ed-a58f-c894027f4afb_jpg.rf.96ec73ab78f34859aedbec10f252bf6c.txt,0,bird,100,104,338,340,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6e5338c0-5e70-11ed-8e69-c894027f4afb_jpg.rf.f02b4204f0b52b1761cc46c06a1adcfd.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6e5338c0-5e70-11ed-8e69-c894027f4afb_jpg.rf.f02b4204f0b52b1761cc46c06a1adcfd.txt,0,bird,92,105,342,340,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6e702b1a-5e70-11ed-988a-c894027f4afb_jpg.rf.db832be476e85568c37e64babdf9754c.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6e702b1a-5e70-11ed-988a-c894027f4afb_jpg.rf.db832be476e85568c37e64babdf9754c.txt,0,bird,86,116,338,338,1
train,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/images/bird_6e8cd0da-5e70-11ed-9334-c894027f4afb_jpg.rf.8a031b3965e61987a5cdb188b87df9dd.jpg,/Users/farrellhrs/Documents/CBL/CBL_1/hand_gesture_model/naruto-hand-sign-4/train/labels/bird_6e8cd0da-5e70-11ed-9334-c894027f4afb_jpg.rf.8a031b3965e61987a5cdb188b87df9dd.txt,0,bird,87,116,339,336,1
